Id,SalePrice
1461,112915.51765664578
1462,147890.78576795972
1463,166409.6814375993
1464,179184.41410056304
1465,201807.30853122106
1466,175892.81176092607
1467,166645.58117635673
1468,167196.0361950857
1469,193553.7295583627
1470,110089.65221419989
1471,194749.35445772033
1472,121906.60524021862
1473,117352.16034857382
1474,157884.17833469168
1475,132672.1908699753
1476,366886.0282953429
1477,263597.20115787734
1478,312083.9914074487
1479,293601.49025966064
1480,486269.83434486995
1481,319851.8310197825
1482,217477.9596497755
1483,176855.08058079667
1484,175232.07720819625
1485,170628.884509493
1486,202002.83555866432
1487,340362.61955000507
1488,269128.16671760275
1489,187180.0841464538
1490,191845.76519011793
1491,197770.0650331005
1492,97990.81625541337
1493,183433.4650834219
1494,296313.4333616103
1495,294576.89352628076
1496,210486.6488899622
1497,200944.57345967382
1498,164938.24323202917
1499,165425.7438026892
1500,154007.00288876775
1501,170198.1422796498
1502,156657.00230933298
1503,265535.06390677235
1504,235130.23001889393
1505,211059.73005049868
1506,205131.1812072386
1507,241645.26338301442
1508,190754.7853081266
1509,167496.84171259278
1510,143374.1826762719
1511,141789.0541780102
1512,161140.20891417077
1513,160634.47241848402
1514,172385.0581697504
1515,209276.57207756114
1516,144414.2614988826
1517,154801.49415041908
1518,163114.21001637055
1519,214383.86591397313
1520,123881.0641638377
1521,128112.39407199701
1522,169428.42473386996
1523,112777.02743898716
1524,111296.90403279866
1525,110911.09401704116
1526,113296.99318984122
1527,105142.16884908064
1528,146818.80301861148
1529,135436.59730858493
1530,177665.0419489865
1531,105071.6591274221
1532,90292.55933447322
1533,146936.6102747881
1534,142548.4256771593
1535,161738.3069833437
1536,113007.70270966696
1537,72373.13607361315
1538,159628.92712029215
1539,178671.73229358753
1540,124255.4300969129
1541,152713.50061582046
1542,155701.73027350137
1543,199824.07734691026
1544,81071.79098271093
1545,114952.23195690123
1546,126958.72910345448
1547,122679.9231729375
1548,133188.0040511266
1549,119057.55343585227
1550,127588.75646967937
1551,114714.32922491945
1552,128092.07817706872
1553,137041.8657494176
1554,131022.9724432754
1555,150686.77863148443
1556,101567.52883654388
1557,108892.36300917839
1558,106363.26032811102
1559,102418.32976224601
1560,121148.38836256944
1561,149816.64617923458
1562,126675.02182138817
1563,110840.21719084273
1564,161314.8910690268
1565,143098.27954668555
1566,217339.57051240216
1567,86005.30974559158
1568,204035.37060816615
1569,115423.10991513528
1570,131607.7153359317
1571,124603.37146364005
1572,140247.92795409556
1573,222834.88204601378
1574,141258.28915933936
1575,203152.92978615002
1576,224550.12920347974
1577,186204.80123484333
1578,129004.03170820174
1579,136089.19107701318
1580,199345.8296388657
1581,135636.83426138977
1582,121403.66122904721
1583,319542.80216476956
1584,230532.84062719633
1585,141358.77715446425
1586,81460.97099089593
1587,103516.71209707206
1588,132693.8265366628
1589,106841.2642000643
1590,138633.80843625427
1591,95225.37628630007
1592,127881.39271897713
1593,114214.4274771029
1594,138866.0798634811
1595,120250.73161313067
1596,220562.0805616324
1597,186282.19914713912
1598,191330.5944223945
1599,181536.2482233762
1600,191401.7269603436
1601,57052.61241934208
1602,118202.87401488294
1603,76191.2543105852
1604,248370.59048493416
1605,260329.22944257892
1606,160322.29328812443
1607,228585.53938551393
1608,210324.92113904137
1609,184228.43403605671
1610,148784.2830146658
1611,145840.98182359533
1612,174680.31643484687
1613,165965.83475836882
1614,117929.66048289054
1615,99710.588819702
1616,99710.588819702
1617,107057.27999770772
1618,124546.72232841839
1619,123731.60556786976
1620,198058.73096010886
1621,145478.8882579648
1622,134038.73764082717
1623,258126.45365612756
1624,197648.05462299442
1625,116825.01163179336
1626,173356.9585413986
1627,179539.6380668762
1628,283248.3560843027
1629,182622.60902860278
1630,349153.22721384675
1631,224103.67274897837
1632,250091.18861863145
1633,169033.31044577836
1634,181868.22449611637
1635,167241.12589027415
1636,160462.96206260932
1637,177945.23323249028
1638,207287.69874356245
1639,193203.4584653875
1640,255596.77341931235
1641,192170.18232200388
1642,215530.98451435292
1643,240699.82393252337
1644,232913.63274567283
1645,175249.81857061703
1646,146725.89588764834
1647,165916.75094264545
1648,141647.7160076769
1649,124107.13923962369
1650,109484.21708469957
1651,121874.73382588974
1652,122842.12114217518
1653,122497.18322382637
1654,162032.5157932769
1655,153965.30579097642
1656,159014.67492797086
1657,163171.9113795306
1658,159567.6967812311
1659,133388.41462923537
1660,147162.08064956215
1661,400565.19327304466
1662,383959.68535368727
1663,371667.1698311812
1664,541976.9156653796
1665,323302.9973776259
1666,296401.13710875605
1667,328982.31136744726
1668,328101.28165509464
1669,285376.62427122414
1670,333201.2502428769
1671,241908.22412767235
1672,437622.95428494806
1673,288617.8613757691
1674,269548.5593675488
1675,180672.82538139023
1676,177865.33627929664
1677,197254.88528594456
1678,524496.0640236943
1679,345985.2604415964
1680,321819.8024584223
1681,257473.4003265813
1682,277678.68380347994
1683,200346.75932204002
1684,182075.9590113658
1685,170339.18418811957
1686,182117.0175267094
1687,171133.20465344188
1688,197013.2201555009
1689,193599.78614825718
1690,184830.4631525112
1691,174022.45410720192
1692,258089.04789305702
1693,170628.884509493
1694,170711.35764720253
1695,172667.6032714958
1696,265508.4525096993
1697,172261.79665133756
1698,339001.73625656066
1699,322825.2679478159
1700,229633.12192848153
1701,266345.0154685522
1702,287013.26356890664
1703,270927.36741360754
1704,282512.5092115718
1705,224271.50792939198
1706,439536.7584882397
1707,206685.0115325298
1708,204161.5438120017
1709,298339.08476059913
1710,228008.12696713486
1711,249861.54552110762
1712,276494.1731813652
1713,248105.1528935915
1714,218579.10848420733
1715,198855.5368922804
1716,190620.61930280193
1717,181390.26299467665
1718,147139.41265919598
1719,207009.72983753725
1720,255766.07909806442
1721,180007.91596830593
1722,132206.079235517
1723,147097.16024576576
1724,226072.36057111292
1725,226283.40138060934
1726,181398.99494840752
1727,173737.36900804527
1728,184763.31761307167
1729,157097.936255208
1730,173393.02936484184
1731,122489.20893942712
1732,117807.54500950784
1733,108472.39870082843
1734,115209.41540652489
1735,122482.6290724265
1736,110735.29841504898
1737,306545.63360277686
1738,213211.89384085368
1739,321474.7970104713
1740,219816.79731467203
1741,176850.9761119645
1742,170198.1422796498
1743,180290.51324172562
1744,263865.5309413608
1745,232722.09582750648
1746,239635.51410892291
1747,208082.08900400082
1748,232569.15643125176
1749,147095.1735635219
1750,146391.59926257047
1751,239552.2486915504
1752,110540.2560138479
1753,170641.91280026312
1754,215615.8733100337
1755,158643.4006545488
1756,105243.27962761417
1757,106700.7218933592
1758,137518.23616665404
1759,151871.74107328724
1760,163411.69311480044
1761,147040.52607084115
1762,169039.99668986956
1763,168966.81509766178
1764,110329.06410226323
1765,198361.51440057933
1766,165975.46822657107
1767,203458.97221028578
1768,122603.25337939941
